id,isbn,isbn13,average_rating,ratings_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count
5,043965548X,9780439655484,4.56,2320061,36089,2530636,3336794,49479
14,1400052920,9781400052929,4.22,4893,454,1318472,2052864,27347
21,076790818X,9780767908184,4.21,246839,9332,269004,600667,11322
25,076790382X,9780767903820,3.90,49153,2203,55571,89880,2732
40,193337201X,9781933372013,3.61,1251,208,1453,3021,229
45,097669400X,9780976694007,3.84,1428,59,2065,3915,106
51,1557344493,9781557344496,4.00,36,2,36,66,2
54,1575606240,9781575606248,4.33,6,0,6,12,0
55,1595580271,9781595580276,3.45,99,16,122,226,24
57,1595962808,9781595962805,3.75,166,4,170,422,4
63,1590301943,9781590301944,3.55,300,43,396,945,56
68,006076273X,9780060762735,3.83,54,12,33190,71622,3098
72,1932386106,9781932386103,4.13,52,4,52,107,4
73,096513671X,9780965136716,3.83,15,2,33190,71622,3098
89,1596670231,9781596670235,3.94,31,1,31,81,1
90,1581807740,9781581807745,3.77,62,4,64,141,5
96,1852402873,9781852402877,4.47,34,6,1002,2188,67
100,1581805632,9781581805635,3.78,78,4,86,175,4
122,034541005X,9780345410054,4.35,68952,4540,73406,126114,5064
132,006076287X,9780060762872,3.48,76,9,90,289,9
155,1593080271,9781593080273,4.05,9549,723,619943,247822,22007
